,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"75,477,213","+206,425","1,672,116","+4,520","53,022,436","+179,925","20,782,661","107,226","9,683",214.5,
1,1,USA,"17,638,215","+11,145","318,067 ",+138,"10,296,044","+4,918","7,024,104","28,198","53,143",958
2,2,India,"9,987,949","+10,115","144,914 ",+85,"9,530,530","+10,486","312,505","8,944","7,205",105
3,3,Brazil,"7,111,527",,"184,876 ",,"6,177,702",,"748,949","8,318","33,347",867
4,4,Russia,"2,791,220","+28,552","49,762 ",+611,"2,228,633","+26,093","512,825","2,300","19,123",341
5,5,France,"2,427,316",,"59,619 ",,"181,506",,"2,186,191","2,808","37,149",912
6,6,Turkey,"1,955,680",,"17,364 ",,"1,721,607",,"216,709","5,803","23,074",205
7,7,UK,"1,948,660",,"66,052 ",,N/A,N/A,N/A,"1,340","28,635",971
8,8,Italy,"1,906,377",,"67,220 ",,"1,203,814",,"635,343","2,855","31,552","1,113"
9,9,Spain,"1,805,633",,"48,777 ",,N/A,N/A,N/A,"1,955","38,612","1,043"
10,10,Argentina,"1,524,372",,"41,534 ",,"1,352,556",,"130,282","3,471","33,586",915
11,11,Colombia,"1,468,795",,"39,787 ",,"1,343,819",,"85,189","2,578","28,725",778
12,12,Germany,"1,451,382","+12,944","25,482 ",+317,"1,069,400","+21,800","356,500","4,836","17,297",304
13,13,Mexico,"1,289,298","+11,799","116,487 ",+718,"953,762","+8,089","219,049","3,890","9,952",899
14,14,Poland,"1,182,864","+11,013","24,771 ",+426,"915,576","+12,227","242,517","1,725","31,270",655
15,15,Iran,"1,145,651","+7,121","53,273 ",+178,"865,474","+8,961","226,904","5,627","13,560",631
16,16,Peru,"991,518",,"36,901 ",,"925,893",,"28,724","1,099","29,880","1,112"
17,17,Ukraine,"944,381","+12,630","16,256 ",+260,"561,222","+12,866","366,903",177,"21,655",373
18,18,South Africa,"892,813",,"24,011 ",,"780,313",,"88,489",546,"14,967",403
19,19,Netherlands,"652,525",,"10,321 ",,N/A,N/A,N/A,536,"38,043",602
20,20,Indonesia,"650,197","+6,689","19,514 ",+124,"531,995","+5,016","98,688",,"2,366",71
21,21,Belgium,"618,204","+3,146","18,371 ",+93,"42,402",+203,"557,431",571,"53,234","1,582"
22,22,Czechia,"610,006","+7,590","10,163 ",+53,"527,062",+397,"72,781",596,"56,913",948
23,23,Romania,"582,786","+5,340","14,157 ",+188,"484,948","+7,809","83,681","1,270","30,389",738
24,24,Iraq,"581,811","+1,362","12,670 ",+20,"517,091","+1,770","52,050",198,"14,318",312
25,25,Chile,"581,135","+2,403","16,051 ",+44,"552,289","+1,089","12,795",668,"30,280",836
26,26,Bangladesh,"498,293","+1,318","7,217 ",+25,"433,614","+2,024","57,462",,"3,012",44
27,27,Canada,"488,638",,"13,916 ",,"398,412",,"76,310",676,"12,894",367
28,28,Philippines,"456,562","+2,122","8,875 ",+25,"420,666",+778,"27,021",708,"4,141",80
29,29,Pakistan,"451,494","+2,972","9,164 ",+84,"399,852","+3,261","42,478","2,505","2,026",41
30,30,Morocco,"409,746",,"6,804 ",,"369,998",,"32,944","1,096","11,041",183
31,31,Switzerland,"403,989","+4,478","6,541 ",+54,"311,500",,"85,948",444,"46,522",753
32,32,Israel,"370,152","+2,177","3,057 ",+7,"344,372","+1,388","22,723",429,"40,244",332
