,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"77,920,539","+190,890","1,713,152","+4,475","54,786,890","+202,016","21,420,497","106,251","9,996",219.8,
1,1,USA,"18,487,519","+13,803","326,954 ",+182,"10,807,172","+4,676","7,353,393","28,076","55,698",985
2,2,India,"10,094,801","+19,379","146,414 ",+269,"9,656,883","+21,269","291,504","8,944","7,281",106
3,3,Brazil,"7,264,221",,"187,322 ",,"6,286,980",,"789,919","8,318","34,060",878
4,4,Russia,"2,906,503","+28,776","51,912 ",+561,"2,319,520","+24,158","535,071","2,300","19,912",356
5,5,France,"2,479,151",,"60,900 ",,"184,464",,"2,233,787","2,746","37,941",932
6,6,UK,"2,073,511",,"67,616 ",,N/A,N/A,N/A,"1,364","30,468",994
7,7,Turkey,"2,043,704",,"18,351 ",,"1,834,705",,"190,648","5,192","24,109",216
8,8,Italy,"1,964,054",,"69,214 ",,"1,281,258",,"613,582","2,731","32,507","1,146"
9,9,Spain,"1,830,110",,"49,260 ",,N/A,N/A,N/A,"1,944","39,136","1,053"
10,10,Argentina,"1,547,138",,"41,997 ",,"1,374,401",,"130,740","3,367","34,084",925
11,11,Germany,"1,542,775","+8,659","27,662 ",+365,"1,136,700","+21,300","378,413","5,167","18,386",330
12,12,Colombia,"1,518,067",,"40,680 ",,"1,382,340",,"95,047","2,578","29,685",795
13,13,Mexico,"1,325,915","+5,370","118,598 ",+396,"987,328","+9,326","219,989","3,913","10,233",915
14,14,Poland,"1,214,525","+7,192","25,783 ",+309,"954,272","+8,255","234,470","1,673","32,107",682
15,15,Iran,"1,170,743","+6,208","54,003 ",+187,"903,998","+9,632","212,742","5,467","13,855",639
16,16,Peru,"998,475",,"37,173 ",,"934,329",,"26,973","1,098","30,085","1,120"
17,17,Ukraine,"979,506","+8,513","16,897 ",+232,"600,288","+14,020","362,321",177,"22,462",387
18,18,South Africa,"930,711",,"24,907 ",,"796,346",,"109,458",546,"15,600",417
19,19,Netherlands,"710,683","+9,810","10,633 ",+114,N/A,N/A,N/A,586,"41,432",620
20,20,Indonesia,"678,125","+6,347","20,257 ",+172,"552,722","+5,838","105,146",,"2,467",74
21,21,Czechia,"635,414","+7,860","10,562 ",+55,"541,012",+403,"83,840",588,"59,282",985
22,22,Belgium,"626,911",+981,"18,697 ",+71,"43,034",+54,"565,180",546,"53,981","1,610"
23,23,Romania,"598,792","+5,009","14,636 ",+155,"508,979","+7,083","75,177","1,252","31,226",763
24,24,Chile,"589,189","+1,701","16,217 ",+20,"559,845","+1,932","13,127",683,"30,697",845
25,25,Iraq,"586,503","+1,158","12,725 ",+15,"524,344","+1,707","49,434",176,"14,430",313
26,26,Canada,"515,314",,"14,332 ",,"423,621",,"77,361",694,"13,597",378
27,27,Bangladesh,"503,501","+1,318","7,329 ",+17,"441,929","+2,235","54,243",,"3,043",44
28,28,Philippines,"462,815","+1,314","9,021 ",+66,"429,419",+247,"24,375",708,"4,197",82
29,29,Pakistan,"460,672","+1,704","9,474 ",+82,"410,937","+1,852","40,261","2,398","2,067",43
30,30,Switzerland,"418,266","+4,275","6,864 ",+83,"311,500",,"99,902",431,"48,162",790
31,31,Morocco,"418,002",,"7,000 ",,"380,134",,"30,868","1,069","11,262",189
32,32,Sweden,"389,439",,"8,167 ",+23,N/A,N/A,N/A,302,"38,447",806
33,33,Israel,"380,095","+1,836","3,111 ",,"349,356",+483,"27,628",472,"41,325",338
34,34,Portugal,"378,656","+2,436","6,254 ",+63,"304,825","+5,222","67,577",508,"37,187",614
35,35,Saudi Arabia,"361,359",+181,"6,139 ",+8,"352,249",+160,"2,971",404,"10,304",175
36,36,Austria,"342,226","+1,853","5,540 ",+105,"309,595","+3,937","27,091",487,"37,896",613
37,37,Serbia,"307,827","+4,080","2,782 ",+49,"31,536",,"273,509",313,"35,299",319
38,38,Hungary,"306,368","+1,238","8,462 ",+180,"108,676","+5,714","189,230",522,"31,752",877
39,39,Jordan,"279,892","+2,444","3,627 ",+23,"249,256","+3,088","27,009",307,"27,304",354
40,40,Nepal,"255,236",+722,"1,798 ",+3,"245,709",+966,"7,729",,"8,687",61
41,41,Panama,"214,038",,"3,597 ",,"174,951",,"35,490",178,"49,241",828
42,42,Georgia,"212,526","+3,064","2,182 ",+42,"188,408","+3,740","21,936",,"53,325",547
43,43,Ecuador,"206,329",,"13,949 ",,"181,618",,"10,762",382,"11,612",785
44,44,Azerbaijan,"205,877","+2,284","2,294 ",+41,"147,199","+4,392","56,384",,"20,219",225
45,45,Japan,"200,658","+2,135","2,944 ",+44,"169,342","+1,829","28,372",620,"1,589",23
46,46,Croatia,"197,323","+1,595","3,328 ",+71,"178,880","+2,514","15,115",292,"48,208",813
47,47,UAE,"195,878","+1,226",642 ,+3,"171,451","+1,611","23,785",,"19,693",65
48,48,Bulgaria,"192,472",,"6,765 ",,"102,666",,"83,041",523,"27,800",977
49,49,Belarus,"177,274","+1,858","1,341 ",+8,"154,807","+1,877","21,126",,"18,763",142
50,50,Dominican Republic,"161,930",+878,"2,398 ",+13,"125,715",+784,"33,817",246,"14,857",220
51,51,Costa Rica,"159,893",,"2,037 ",,"126,777",,"31,079",254,"31,253",398
52,52,Lebanon,"159,286",,"1,294 ",,"113,948",,"44,044",410,"23,387",190
53,53,Slovakia,"155,218","+2,663","1,618 ",,"110,565",+758,"43,035",334,"28,424",296
54,54,Armenia,"154,602",+537,"2,673 ",+17,"134,586","+1,410","17,343",,"52,127",901
55,55,Bolivia,"150,385",+362,"9,043 ",+7,"128,308",+339,"13,034",71,"12,801",770
56,56,Kuwait,"148,209",,922 ,,"144,142",,"3,145",55,"34,465",214
57,57,Kazakhstan,"147,975",+739,"2,147 ",,"132,427",+821,"13,401",221,"7,837",114
58,58,Qatar,"142,308",+149,243 ,,"140,129",+202,"1,936",24,"50,683",87
59,59,Denmark,"140,175","+2,543","1,070 ",+17,"95,933","+2,719","43,172",83,"24,160",184
60,60,Moldova,"136,931","+1,021","2,803 ",+26,"121,402","+1,387","12,726",272,"33,982",696
61,61,Guatemala,"133,601",+734,"4,718 ",+30,"121,936",+599,"6,947",5,"7,393",261
62,62,Greece,"132,430",+833,"4,340 ",+83,"9,989",,"118,101",491,"12,735",417
63,63,Oman,"128,143",+212,"1,490 ",+1,"119,945",+200,"6,708",40,"24,799",288
64,64,Egypt,"126,273",,"7,130 ",,"107,162",,"11,981",90,"1,223",69
65,65,Palestine,"125,506","+1,561","1,198 ",+29,"101,355","+1,808","22,953",124,"24,338",232
66,66,Tunisia,"121,718",,"4,199 ",,"95,025","+7,141","22,494",290,"10,248",354
67,67,Ethiopia,"120,348",,"1,861 ",,"103,681",,"14,806",265,"1,035",16
68,68,Myanmar,"117,946",+964,"2,484 ",+19,"97,819","+1,134","17,643",,"2,161",46
69,69,Honduras,"117,190",+168,"3,034 ",+7,"54,304",+37,"59,852",112,"11,744",304
70,70,Lithuania,"116,358","+1,871","1,093 ",+54,"54,197","+3,334","61,068",198,"43,032",404
71,71,Venezuela,"110,513",,993 ,,"104,799",,"4,721",49,"3,892",35
72,72,Slovenia,"107,770","+1,474","2,417 ",+38,"87,960","+3,983","17,393",208,"51,836","1,163"
73,73,Bosnia and Herzegovina,"106,222",,"3,706 ",,"71,548",,"30,968",,"32,473","1,133"
74,74,Paraguay,"100,612",,"2,103 ",,"72,721",,"25,788",181,"14,025",293
75,75,Malaysia,"97,389","+2,062",439 ,+1,"79,304",+911,"17,646",111,"2,991",13
76,76,Libya,"95,706",+506,"1,385 ",+16,"66,076",+544,"28,245",,"13,840",200
77,77,Algeria,"95,659",,"2,675 ",,"63,644",,"29,340",42,"2,163",60
78,78,Kenya,"94,614",,"1,644 ",,"76,060",,"16,910",46,"1,742",30
79,79,Bahrain,"90,450",,350 ,,"88,542",,"1,558",13,"52,315",202
80,80,Ireland,"80,267",,"2,158 ",,"23,364",,"54,745",28,"16,170",435
81,81,Kyrgyzstan,"79,429",+175,"1,335 ",+4,"73,300",+295,"4,794",94,"12,081",203
82,82,Nigeria,"78,790",,"1,227 ",,"68,493",,"9,070",10,378,6
83,83,North Macedonia,"78,434",,"2,314 ",,"55,155",,"20,965",138,"37,648","1,111"
84,84,Uzbekistan,"76,180",+132,612 ,,"73,460",+121,"2,108",169,"2,261",18
85,85,Singapore,"58,461",+29,29 ,,"58,304",+17,128,,"9,956",5
86,86,Ghana,"53,954",,333 ,,"52,675",,946,14,"1,720",11
87,87,Albania,"53,425",,"1,098 ",,"28,752",,"23,575",39,"18,574",382
88,88,S. Korea,"51,460",+869,722 ,+24,"35,928",+773,"14,810",281,"1,003",14
89,89,Afghanistan,"51,089",+201,"2,105 ",+16,"39,784",+83,"9,200",93,"1,299",54
90,90,Luxembourg,"44,582",,450 ,,"37,106",,"7,026",38,"70,679",713
91,91,Norway,"44,336",,405 ,,"37,658",,"6,273",35,"8,148",74
